episode,reward,reward_tard,reward_setup,training time
0,24.42,14.24,34.60,0.28
1,22.34,14.48,30.20,0.29
2,21.86,14.31,29.40,0.05
3,21.44,15.08,27.80,0.06
4,22.38,14.95,29.80,0.06
5,23.30,13.80,32.80,0.05
6,22.07,13.55,30.60,0.05
7,24.12,15.83,32.40,0.05
8,22.78,14.57,31.00,0.05
9,23.31,14.82,31.80,0.05
10,23.93,14.07,33.80,0.05
11,24.10,15.00,33.20,0.05
12,23.02,15.85,30.20,0.05
13,22.43,12.46,32.40,0.05
14,24.80,15.80,33.80,0.05
15,23.62,16.04,31.20,0.05
16,24.86,14.32,35.40,0.05
17,21.70,14.20,29.20,0.05
18,23.06,14.32,31.80,0.05
19,24.04,16.08,32.00,0.05
20,21.26,12.32,30.20,0.06
21,23.69,13.38,34.00,0.05
22,20.95,12.91,29.00,0.05
23,23.62,14.44,32.80,0.05
24,22.07,13.14,31.00,0.05
25,22.13,12.66,31.60,0.05
26,22.98,15.16,30.80,0.05
27,24.72,17.43,32.00,0.06
28,21.28,13.35,29.20,0.05
29,22.93,13.85,32.00,0.05
30,23.91,14.62,33.20,0.05
31,23.19,14.37,32.00,0.05
32,21.26,12.92,29.60,0.05
33,22.77,13.93,31.60,0.05
34,20.52,11.63,29.40,0.05
35,22.55,12.51,32.60,0.05
36,23.75,13.50,34.00,0.05
37,18.71,11.42,26.00,0.05
38,21.09,13.78,28.40,0.05
39,22.53,14.46,30.60,0.05
40,22.37,14.15,30.60,0.05
41,23.12,13.44,32.80,0.06
42,23.51,15.41,31.60,0.05
43,24.69,14.78,34.60,0.05
44,22.16,14.33,30.00,0.05
45,22.02,13.03,31.00,0.06
46,21.23,12.07,30.40,0.06
47,20.73,13.85,27.60,0.05
48,24.46,15.51,33.40,0.05
49,23.59,14.98,32.20,0.05
50,24.92,17.25,32.60,0.06
51,21.76,14.32,29.20,0.05
52,22.20,13.59,30.80,0.06
53,22.92,13.84,32.00,0.05
54,22.90,15.20,30.60,0.05
55,24.05,13.89,34.20,0.05
56,20.96,14.52,27.40,0.05
57,22.35,12.71,32.00,0.05
58,22.60,14.59,30.60,0.06
59,23.82,16.04,31.60,0.05
60,21.77,14.14,29.40,0.05
61,22.82,13.23,32.40,0.05
62,21.69,12.78,30.60,0.05
63,23.99,15.57,32.40,0.05
64,21.54,13.28,29.80,0.05
65,22.56,14.33,30.80,0.05
66,22.84,12.47,33.20,0.05
67,23.13,13.47,32.80,0.05
68,22.08,13.16,31.00,0.05
69,19.67,10.74,28.60,0.05
70,22.18,13.56,30.80,0.04
